run, problem, method, Expansions, GoalTests, NewNodes, plan_size, time_elapsed,
3,p2,breadth_first_search,3343,4609,30509,9,25.49764449699432
3,p2,uniform_cost_search,4839,4841,43911,9,15.1851769130007
3,p3,astar_search_h_ignore_preconditions,5040,5042,44944,12,17.6628712790043
3,p3,astar_search_h_pg_levelsum,316,318,2912,12,277.8825776939993
3,p3,depth_first_graph_search,627,628,5176,596,3.28546739299781
3,p3,greedy_best_first_graph_search_h_1,5578,5580,49147,26,17.11677051199512
3,p3,breadth_first_search,14663,18098,129631,12,103.0476354140046
3,p3,uniform_cost_search,18221,18223,159612,12,55.4006373370066
3,p4,astar_search_h_ignore_preconditions,62385,62387,696647,15,423.6320769910016
3,p4,astar_search_h_pg_levelsum,697,699,7964,16,1614.239283470000
3,p4,depth_first_graph_search,1509,1510,15488,1452,21.22378875499998
3,p4,greedy_best_first_graph_search_h_1,123356,123358,1358016,29,704.45853404999
3,p4,breadth_first_search,
4,p1,astar_search_h_ignore_preconditions,41,43,170,6,0.092787673005659
4,p1,astar_search_h_pg_levelsum,11,13,50,6,0.622066490002907
4,p1,depth_first_graph_search,12,13,48,12,0.00853954299964243
4,p1,greedy_best_first_graph_search_h_1,7,9,28,6,0.00522176700178533
4,p1,breadth_first_search,43,56,180,6,0.0323274580005090
4,p1,uniform_cost_search,55,57,224,6,0.0395874300011200
4,p2,astar_search_h_ignore_preconditions,1450,1452,13303,9,4.4437188500014
4,p2,astar_search_h_pg_levelsum,86,88,841,9,53.1234178259983
4,p2,depth_first_graph_search,582,583,5211,575,3.10284969499480
4,p2,greedy_best_first_graph_search_h_1,958,960,8622,19,2.490607803993043
4,p2,breadth_first_search,3343,4609,30509,9,14.27753722100169
4,p2,uniform_cost_search,4839,4841,43911,9,12.60870159700425
4,p3,astar_search_h_ignore_preconditions,5040,5042,44944,12,17.51103440199949
4,p3,astar_search_h_pg_levelsum,316,318,2912,12,259.49987271699
4,p3,depth_first_graph_search,627,628,5176,596,3.280209310003556
4,p3,greedy_best_first_graph_search_h_1,5578,5580,49147,26,17.05677955500141
4,p3,breadth_first_search,14663,18098,129631,12,101.7373048099980
4,p3,uniform_cost_search,18221,18223,159612,12,55.4907897009979
4,p4,astar_search_h_ignore_preconditions,62385,62387,696647,15,398.17487841
4,p4,astar_search_h_pg_levelsum,697,699,7964,16,1647.212162632000
4,p4,depth_first_graph_search,1509,1510,15488,1452,21.29790117700031
4,p4,greedy_best_first_graph_search_h_1,123356,123358,1358016,29,747.04508835900
4,p4,breadth_first_search,
5,p1,astar_search_h_ignore_preconditions,41,43,170,6,0.1307437810028204
5,p1,astar_search_h_pg_levelsum,11,13,50,6,1.106080116995144
5,p1,depth_first_graph_search,12,13,48,12,0.00901268100278684
5,p1,greedy_best_first_graph_search_h_1,7,9,28,6,0.005394683998019
